Ticker,Company Name,CEO Name,Start Date,End Date,Source,Validation URL
AZTA,"Azenta, Inc.",Edward C. Grady,,2007-08-15,8-K,https://www.sec.gov/Archives/edgar/data/933974/000095013507005166/b66634bae8vk.htm
AZTA,"Azenta, Inc.",Robert J. Lepofsky,2007-08-15,2010-04-05,8-K,https://www.sec.gov/Archives/edgar/data/933974/000095012310073370/b82017e8vk.htm
AZTA,"Azenta, Inc.",Stephen S. Schwartz,2010-04-05,2024-05-08,8-K,https://www.sec.gov/Archives/edgar/data/933974/000155837024007472/azta-20240507x8k.htm
AZTA,"Azenta, Inc.",John Marotta,2024-09-09,Present,8-K,https://www.sec.gov/Archives/edgar/data/933974/000143774924028399/azta20240904_8k.htm
AZZ,AZZ INC,David H. Dingus,,2013-10-27,8-K,https://www.sec.gov/Archives/edgar/data/8947/000119312513415592/d620433d8k.htm
AZZ,AZZ INC,Dana L. Perry,2013-10-27,2013-11-04,8-K,https://www.sec.gov/Archives/edgar/data/8947/000119312513415592/d620433d8k.htm
AZZ,AZZ INC,Tom Ferguson,2013-11-04,Present,8-K,https://www.sec.gov/Archives/edgar/data/8947/000000894713000163/form8ktomferguson.htm
BALY,Bally's Corp,George Papanier,2015-01-01,2021-10-01,8-K,https://www.sec.gov/Archives/edgar/data/1747079/000110465921049519/tm2112603d1_8k.htm
BALY,Bally's Corp,Lee Fenton,2021-10-01,2023-03-31,8-K,https://www.sec.gov/Archives/edgar/data/1747079/000110465921123930/tm2128881d1_8k.htm
BALY,Bally's Corp,Robeson Reeves,2023-04-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1747079/000174707923000019/baly-20230213.htm
BANC,"BANC OF CALIFORNIA, INC.",Hans R. Ganz,,2010-11-01,8-K,https://www.sec.gov/Archives/edgar/data/1169770/000092708910000253/fpt-8k110310.htm
BANC,"BANC OF CALIFORNIA, INC.",Gregory A. Mitchell,2010-11-01,2012-09-21,8-K,https://www.sec.gov/Archives/edgar/data/1169770/000092708910000253/fpt-8k110310.htm
BANC,"BANC OF CALIFORNIA, INC.",Steven A. Sugarman,2012-09-21,2017-01-23,8-K,https://www.sec.gov/Archives/edgar/data/1169770/000141588912001413/fpt8k_sep2012.htm
BANC,"BANC OF CALIFORNIA, INC.",Hugh Boyle,2017-01-23,2017-05-08,8-K,https://www.sec.gov/Archives/edgar/data/1169770/000119312517018153/d336750d8k.htm
BANC,"BANC OF CALIFORNIA, INC.",Douglas Bowers,2017-05-08,2019-03-18,8-K,https://www.sec.gov/Archives/edgar/data/1169770/000119312517141136/d383185d8k.htm
BANC,"BANC OF CALIFORNIA, INC.",Jared M. Wolff,2019-03-18,2023-10-26,8-K,https://www.sec.gov/Archives/edgar/data/1169770/000116977019000008/a3-3x198xk.htm
BANC,"BANC OF CALIFORNIA, INC.","John M. Eggemeyer, III",2023-10-26,Present,8-K,https://www.sec.gov/Archives/edgar/data/1169770/000114036123049782/ny20009876x14_8k.htm
BAND,Bandwidth Inc.,David A. Morken,2001-01-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1514416/000151441626000027/band-20260414.htm
BANF,BANCFIRST CORP /OK/,David E. Rainbolt,1992-01-01,2017-05-25,SEC Filings,https://www.sec.gov/Archives/edgar/data/760498/000095017024041155/banf-20240403.htm
BANF,BANCFIRST CORP /OK/,David Harlow,2017-05-25,Present,8-K,https://www.sec.gov/Archives/edgar/data/760498/000114420417030170/v468093_8k.htm
BANR,BANNER CORP,Mark J. Grescovich,2010-08-18,Present,8-K,https://www.sec.gov/Archives/edgar/data/946673/000093905710000277/k818.htm
BARK,"Bark, Inc.",Manish Joneja,2011-10-01,2022-01-10,8-K,https://www.sec.gov/Archives/edgar/data/1819574/000181957422000006/bark-20220111.htm
BARK,"Bark, Inc.",Matt Meeker,2022-01-10,Present,8-K,https://www.sec.gov/Archives/edgar/data/1819574/000181957422000006/bark-20220111.htm
BATRA,"Atlanta Braves Holdings, Inc.",Terence F. McGuirk,2014-01-01,2019-12-13,8-K,https://www.sec.gov/Archives/edgar/data/1958140/000195814024000021/batra-20240826x8k.htm
BATRA,"Atlanta Braves Holdings, Inc.",Gregory B. Maffei,2019-12-13,2024-08-31,8-K,https://www.sec.gov/Archives/edgar/data/1958140/000110465924092242/tm2422424d1_8k.htm
BATRK,"Atlanta Braves Holdings, Inc.",Terence F. McGuirk,2001-01-01,2019-12-13,8-K,https://www.sec.gov/Archives/edgar/data/1958140/000195814024000021/batra-20240826x8k.htm
BATRK,"Atlanta Braves Holdings, Inc.",Gregory B. Maffei,2019-12-13,2024-08-31,8-K,https://www.sec.gov/Archives/edgar/data/1958140/000110465924092242/tm2422424d1_8k.htm
BBAI,"BigBear.ai Holdings, Inc.",Reginald Brothers,2021-12-07,2022-10-12,8-K,https://www.sec.gov/Archives/edgar/data/1836981/000119312521355558/d125877d8k.htm
BBAI,"BigBear.ai Holdings, Inc.",Amanda Long,2022-10-12,2025-01-15,8-K,https://www.sec.gov/Archives/edgar/data/1836981/000119312522260676/d409050d8k.htm
BBAI,"BigBear.ai Holdings, Inc.",Kevin McAleenan,2025-01-15,Present,8-K,https://www.sec.gov/Archives/edgar/data/1836981/000162828025001748/bbai-20250115.htm
BBBY,"BED BATH & BEYOND, INC.",Patrick M. Byrne,2006-04-25,2013-02-12,8-K,https://www.sec.gov/Archives/edgar/data/1130713/000110465906029121/a06-10782_18k.htm
BBBY,"BED BATH & BEYOND, INC.",Jonathan E. Johnson,2013-02-12,2013-04-15,8-K,https://www.sec.gov/Archives/edgar/data/1130713/000110465913010067/a13-5048_18k.htm
BBBY,"BED BATH & BEYOND, INC.",Mitch Edwards,2016-04-11,2018-05-08,8-K,https://www.sec.gov/Archives/edgar/data/1130713/000110465916111870/a16-8578_18k.htm
BBBY,"BED BATH & BEYOND, INC.",Jonathan E. Johnson III,2019-08-22,2023-11-06,8-K,https://www.sec.gov/Archives/edgar/data/1130713/000113071319000065/a8-kpatrickbyrne20190822.htm
BBBY,"BED BATH & BEYOND, INC.",David J. Nielsen,2023-11-06,Present,8-K,https://www.sec.gov/Archives/edgar/data/1130713/000114036123051569/ef20014121_8k.htm
BBCP,"Concrete Pumping Holdings, Inc.",Bruce Young,2008-01-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1703956/000143774924005920/bbpp20230614_def14a.htm
BBIO,"BridgeBio Pharma, Inc.",Neil Kumar,2015-04-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1743881/000114036126016723/ny20065754x1_def14a.htm
BBNX,"Beta Bionics, Inc.",Sean Saint,2022-08-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1674632/000119312526151235/bbnx-20260408.htm
BBSI,BARRETT BUSINESS SERVICES INC,William W. Sherertz,1980-01-01,2011-01-20,8-K,https://www.sec.gov/Archives/edgar/data/902791/000089291711000015/bbsi8k110127.htm
BBSI,BARRETT BUSINESS SERVICES INC,Michael L. Elich,2011-01-20,2020-03-05,8-K,https://www.sec.gov/Archives/edgar/data/902791/000114420411003205/v208654_8k.htm
BBSI,BARRETT BUSINESS SERVICES INC,Gary E. Kramer,2020-03-05,Present,8-K,https://www.sec.gov/Archives/edgar/data/902791/000110465920029765/tm2011871d1_8k.htm
BBT,Beacon Financial Corp,J. Williar Dunlaevy,1996-01-01,2011-08-18,8-K,https://www.sec.gov/Archives/edgar/data/1108134/000114420411048670/v232781_8k.htm
BBT,Beacon Financial Corp,Patrick J. Sullivan,2011-08-18,2015-04-23,8-K,https://www.sec.gov/Archives/edgar/data/1108134/000114420411048670/v232781_8k.htm
BBT,Beacon Financial Corp,Glenn S. Welch,2015-04-23,2018-11-26,8-K,https://www.sec.gov/Archives/edgar/data/1108134/000094337415000234/form8k_042815.htm
BBT,Beacon Financial Corp,Richard M. Marotta,2018-11-26,2019-05-30,8-K,https://www.sec.gov/Archives/edgar/data/1108134/000094337418000424/form8k_112618.htm
