Ticker,Company Name,CEO Name,Start Date,End Date,Source,Validation URL
AMCX,AMC Global Media Inc.,Joshua Sapan,1995-01-01,2021-09-08,Wikipedia,https://en.wikipedia.org/wiki/Josh_Sapan
AMCX,AMC Global Media Inc.,Matthew Blank,2021-09-08,2022-09-09,8-K,https://www.sec.gov/Archives/edgar/data/1514991/000151499121000051/amcx-20210823.htm
AMCX,AMC Global Media Inc.,Christina Spade,2022-09-09,2022-11-28,8-K,https://www.sec.gov/Archives/edgar/data/1514991/000151499122000025/amcx-20220803.htm
AMCX,AMC Global Media Inc.,James L. Dolan,2022-12-05,2023-02-27,8-K,https://www.sec.gov/Archives/edgar/data/1514991/000151499122000051/amcx-20221205.htm
AMCX,AMC Global Media Inc.,Kristin Dolan,2023-02-27,Present,8-K,https://www.sec.gov/Archives/edgar/data/1514991/000151499123000004/amcx-20230215.htm
AMLX,"Amylyx Pharmaceuticals, Inc.",Joshua Cohen,2014-01-01,2014-01-01,Web search,https://biography.omicsonline.org/united-states-of-america/amylyx-pharmaceuticals-inc/joshua-cohen-34809
AMLX,"Amylyx Pharmaceuticals, Inc.",Justin Klee,2014-01-01,Present,Web search,https://biography.omicsonline.org/united-states-of-america/amylyx-pharmaceuticals-inc/joshua-cohen-34809
AMN,AMN HEALTHCARE SERVICES INC,Susan R. Nowakowski,,2005-05-04,8-K,https://www.sec.gov/Archives/edgar/data/1142750/000118143108009590/rrd194961.htm
AMN,AMN HEALTHCARE SERVICES INC,Susan R. Salka,2005-05-04,2022-11-27,8-K,https://www.sec.gov/Archives/edgar/data/1142750/000095014222003000/eh220300407_8k.htm
AMN,AMN HEALTHCARE SERVICES INC,Cary Grace,2022-11-28,Present,8-K,https://www.sec.gov/Archives/edgar/data/1142750/000095014222003000/eh220300407_8k.htm
AMPH,"Amphastar Pharmaceuticals, Inc.",Jack Yongfeng Zhang,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1297184/000129718426000023/amph-20260601xdef14a.htm
AMPL,"Amplitude, Inc.",Spenser Skates,2011-01-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1866692/000114036125015778/ny20042857x1_def14a.htm
AMPX,"Amprius Technologies, Inc.",Kang Sun,2017-01-01,2025-12-31,Annual filing,https://www.sec.gov/Archives/edgar/data/1899287/000189928725000026/ampriustechnologiesinc-sch.htm
AMPX,"Amprius Technologies, Inc.",Tom Stepien,2026-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1899287/000189928725000048/ampx-20251218.htm
AMR,"Alpha Metallurgical Resources, Inc.",Kevin S. Crutchfield,,2019-05-06,8-K,https://www.sec.gov/Archives/edgar/data/1704715/000095010319005186/dp105610_8k.htm
AMR,"Alpha Metallurgical Resources, Inc.",Charles Andrew Eidson,2019-05-07,2019-07-29,8-K,https://www.sec.gov/Archives/edgar/data/1704715/000095010319005037/dp105429_8k.htm
AMR,"Alpha Metallurgical Resources, Inc.",David J. Stetson,2019-07-29,2020-12-14,8-K,https://www.sec.gov/Archives/edgar/data/1704715/000095010319009801/dp110259_8k.htm
AMR,"Alpha Metallurgical Resources, Inc.",Andy Eidson,2020-12-14,Present,8-K,https://www.sec.gov/Archives/edgar/data/1704715/000170471520000059/ctra-20201214.htm
AMRC,"Ameresco, Inc.",George P. Sakellaris,2000-01-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1488139/000162828026026695/a2026noticeanddefinitivepr.htm
AMRX,"Amneal Pharmaceuticals, Inc.",James Stewart,,2019-08-01,8-K,https://www.sec.gov/Archives/edgar/data/1723128/000172312819000105/currentreportonform8-k2019.htm
AMRX,"Amneal Pharmaceuticals, Inc.",Chirag Patel,2019-08-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1723128/000130817920000070/lamrx2020_def14a.htm
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,John Wood,2003-01-01,2005-06-28,8-K,https://www.sec.gov/Archives/edgar/data/880807/000118143106067500/rrd138155.htm
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,Gregory J. Yurek,2005-06-28,2011-06-01,8-K,https://www.sec.gov/Archives/edgar/data/880807/000119312505125148/d8k.htm
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,Daniel P. McGahn,2011-06-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/880807/000119312525140726/d874515ddef14a.htm
AMSF,AMERISAFE INC,C. Allen Bradley,2003-12-01,2015-04-01,8-K,https://www.sec.gov/Archives/edgar/data/1018979/000119312515078858/d884900d8k.htm
AMSF,AMERISAFE INC,G. Janelle Frost,2015-04-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1018979/000119312516559918/d185733d8k.htm
