Ticker,Company Name,CEO Name,Start Date,End Date,Source,Validation URL
CMI,CUMMINS INC,Theodore M. Solso,,2008-05-01,8-K,https://www.sec.gov/Archives/edgar/data/26172/000002617211000012/escummins8k071411.htm
CMI,CUMMINS INC,Jean Blackwell,2008-05-01,2012-01-01,8-K,https://www.sec.gov/Archives/edgar/data/26172/000002617208000008/cummins8k0311081.htm
CMI,CUMMINS INC,N. Thomas Linebarger,2012-01-01,2022-08-01,8-K,https://www.sec.gov/Archives/edgar/data/26172/000002617222000032/cmi-20220712.htm
CMI,CUMMINS INC,Jennifer Rumsey,2022-08-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/26172/000002617223000026/cmi-20230712.htm
CMS,CMS ENERGY CORP,Ken Whipple,,2004-09-30,8-K,https://www.sec.gov/Archives/edgar/data/811156/000095012404004698/k88559e8vk.txt
CMS,CMS ENERGY CORP,David W. Joos,2004-10-01,2010-05-21,8-K,https://www.sec.gov/Archives/edgar/data/811156/000129993310001204/htm_36870.htm
CMS,CMS ENERGY CORP,John G. Russell,2010-05-21,2016-07-01,8-K,https://www.sec.gov/Archives/edgar/data/811156/000110465916091454/a16-2938_18k.htm
CMS,CMS ENERGY CORP,Patricia Kessler Poppe,2016-07-01,2020-12-01,8-K,https://www.sec.gov/Archives/edgar/data/811156/000110465920126575/tm2036306d1_8k.htm
CMS,CMS ENERGY CORP,Garrick Rochow,2020-12-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/811156/000110465920126575/tm2036306d1_8k.htm
CNC,CENTENE CORP,Michael F. Neidorff,,2022-02-23,8-K,https://www.sec.gov/Archives/edgar/data/1071739/000107173919000059/form8-k.htm
CNC,CENTENE CORP,Sarah M. London,2022-03-21,Present,8-K,https://www.sec.gov/Archives/edgar/data/1071739/000114036122010555/brhc10035561_8k.htm
CNP,CENTERPOINT ENERGY INC,David M. McClanahan,,2013-12-31,8-K,https://www.sec.gov/Archives/edgar/data/1130310/000119312513416144/d620303d8k.htm
CNP,CENTERPOINT ENERGY INC,Scott M. Prochazka,2014-01-01,2020-02-19,8-K,https://www.sec.gov/Archives/edgar/data/1130310/000119312513476186/d647145d8ka.htm
CNP,CENTERPOINT ENERGY INC,John W. Somerhalder II,2020-02-19,2020-06-30,8-K,https://www.sec.gov/Archives/edgar/data/1130310/000113031020000008/a8-k502smp.htm
CNP,CENTERPOINT ENERGY INC,David J. Lesar,2020-07-01,2024-01-05,8-K,https://www.sec.gov/Archives/edgar/data/1130310/000113031020000067/a8-k502ceoappointment.htm
CNP,CENTERPOINT ENERGY INC,Jason P. Wells,2024-01-05,Present,8-K,https://www.sec.gov/Archives/edgar/data/1130310/000113031023000148/cnp-20231024.htm
COF,CAPITAL ONE FINANCIAL CORP,Richard D. Fairbank,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/927628/000119312526124131/d701179ddef14a.htm
COHR,COHERENT CORP.,Carl J. Johnson,,2007-07-01,8-K,https://www.sec.gov/Archives/edgar/data/820318/000119312507109694/d8k.htm
COHR,COHERENT CORP.,Francis J. Kramer,2007-07-01,2016-09-01,8-K,https://www.sec.gov/Archives/edgar/data/820318/000119312516668525/d233652d8k.htm
COHR,COHERENT CORP.,"Vincent D. Mattera, Jr.",2016-09-01,2019-09-24,8-K,https://www.sec.gov/Archives/edgar/data/820318/000119312516668525/d233652d8k.htm
COHR,COHERENT CORP.,Jerry Rawls,2019-09-24,2021-11-01,8-K,https://www.sec.gov/Archives/edgar/data/820318/000119312519253627/d806984d8k.htm
COHR,COHERENT CORP.,James R. Anderson,2024-06-03,Present,8-K,https://www.sec.gov/Archives/edgar/data/820318/000119312524152389/d845190d8k.htm
COIN,"Coinbase Global, Inc.",Brian Armstrong,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000045/coin-20260424.htm
COO,"COOPER COMPANIES, INC.",A. Thomas Bender,,2007-11-01,8-K,https://www.sec.gov/Archives/edgar/data/711404/000119312507231278/d8k.htm
COO,"COOPER COMPANIES, INC.",Robert S. Weiss,2007-11-01,2018-04-30,8-K,https://www.sec.gov/Archives/edgar/data/711404/000119312518077351/d488600d8k.htm
COO,"COOPER COMPANIES, INC.",Albert G. White III,2018-05-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/711404/000119312518148694/d579336d8k.htm
COP,CONOCOPHILLIPS,J. J. Mulva,2008-10-01,2012-04-04,8-K,https://www.sec.gov/Archives/edgar/data/1163165/000095012908005008/h60642e8vk.htm
COP,CONOCOPHILLIPS,Ryan M. Lance,2012-04-04,Present,8-K,https://www.sec.gov/Archives/edgar/data/1163165/000119312512149905/d327268d8k.htm
COR,"Cencora, Inc.",R. David Yost,,2011-07-01,8-K,https://www.sec.gov/Archives/edgar/data/1140859/000095012311049272/c17155e8vk.htm
COR,"Cencora, Inc.",Steven H. Collis,2011-07-01,2024-09-30,8-K,https://www.sec.gov/Archives/edgar/data/1140859/000110465924033278/tm248543d1_8k.htm
COR,"Cencora, Inc.",Robert P. Mauch,2024-10-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1140859/000162828026003061/cor-20260122.htm
COST,COSTCO WHOLESALE CORP /NEW,Jim Sinegal,,2011-12-31,8-K,https://www.sec.gov/Archives/edgar/data/909832/000119312511276291/d246129d8k.htm
COST,COSTCO WHOLESALE CORP /NEW,Craig Jelinek,2012-01-01,2023-12-31,8-K,https://www.sec.gov/Archives/edgar/data/909832/000119312511239197/d8k.htm
COST,COSTCO WHOLESALE CORP /NEW,Ron Vachris,2024-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/909832/000090983223000049/cost-20231117.htm
CPAY,"CORPAY, INC.",Ronald F. Clarke,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1175454/000117545426000022/cpay-20260410.htm
CPB,CAMPBELL'S Co,Mick J. Beekhuizen,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/16732/000130817925000618/cpb-20251007.htm
CPRT,COPART INC,Jeffrey Liaw,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/900075/000090007524000024/cprt-20240731.htm
CPT,CAMDEN PROPERTY TRUST,Alexander J. Jessett,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/906345/000162828026021581/cpt-20260325.htm
CRH,CRH PUBLIC LTD CO,Jim Mintern,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/849395/000162828026021560/crh-20260326.htm
CRL,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",James C. Foster,1992-01-01,2026-05-05,SEC Filing,https://www.sec.gov/Archives/edgar/data/1100682/000110465926037367/tm261421-1_def14a.htm
CRL,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",Birgit Girshick,2026-05-05,Present,SEC Filing,https://www.sec.gov/Archives/edgar/data/1100682/000110465926037367/tm261421-1_def14a.htm
CRM,"Salesforce, Inc.",Marc Benioff,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000085/crm-20260416.htm
CRWD,"CrowdStrike Holdings, Inc.",George Kurtz,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1535527/000110465926055599/tm2532333-4_def14a.htm
CSCO,"CISCO SYSTEMS, INC.",Chuck Robbins,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/858877/000085887725000150/csco-20251027.htm
CSGP,"COSTAR GROUP, INC.",Andrew Florance,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1057352/000105735226000020/csgp-20251231.htm
CSX,CSX CORP,Michael J. Ward,,2017-04-19,8-K,https://www.sec.gov/Archives/edgar/data/277948/000119312517050573/d332293d8k.htm
CSX,CSX CORP,E. Hunter Harrison,2017-04-19,2017-12-14,8-K,https://www.sec.gov/Archives/edgar/data/277948/000027794817000014/form8kq12017.htm
CSX,CSX CORP,James M. Foote,2017-12-14,2022-09-26,8-K,https://www.sec.gov/Archives/edgar/data/277948/000119312517370568/d446526d8k.htm
CSX,CSX CORP,Joseph R. Hinrichs,2022-09-26,2025-09-27,8-K,https://www.sec.gov/Archives/edgar/data/277948/000095010322015759/dp180343_8k.htm
CSX,CSX CORP,Stephen Angel,2025-09-28,Present,8-K,https://www.sec.gov/Archives/edgar/data/277948/000095010325012355/dp234871_8k.htm
CTAS,CINTAS CORP,Robert J. Kohlhepp,,1995-08-01,8-K,https://www.sec.gov/Archives/edgar/data/723254/000072325416000052/ctasform8-kdepartureandapp.htm
CTAS,CINTAS CORP,Richard T. Farmer,1995-08-01,2009-10-20,8-K,https://www.sec.gov/Archives/edgar/data/723254/000089225109000175/form8k102009.htm
CTAS,CINTAS CORP,Scott D. Farmer,2016-09-30,2025-01-01,8-K,https://www.sec.gov/Archives/edgar/data/723254/000072325416000052/ctasform8-kdepartureandapp.htm
CTAS,CINTAS CORP,Todd M. Schneider,2025-01-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/723254/000072325425000017/ctas-20250531.htm
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,Brian Humphries,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1058290/000105829022000023/ctsh-20211231.htm
CTVA,"Corteva, Inc.","James C. Collins, Jr.",,2021-11-01,8-K,https://www.sec.gov/Archives/edgar/data/1755672/000119312521196816/d131949d8k.htm
CTVA,"Corteva, Inc.",Charles Victor Magro,2021-11-01,2026-04-10,8-K,https://www.sec.gov/Archives/edgar/data/1755672/000119312521310412/d249489d8k.htm
CTVA,"Corteva, Inc.",Luther Kissam,2026-04-10,Present,8-K,https://www.sec.gov/Archives/edgar/data/1755672/000119312526153947/d57201d8k.htm
CVNA,CARVANA CO.,"Ernest C. Garcia, III",2012-01-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1690820/000169082026000024/cvna-20260325.htm
CVS,CVS HEALTH Corp,Thomas M. Ryan,,2007-03-21,8-K,https://www.sec.gov/Archives/edgar/data/64803/000095010307000726/dp05079e_8k.htm
CVS,CVS HEALTH Corp,Howard A. McLure,2007-03-21,2007-03-21,8-K,https://www.sec.gov/Archives/edgar/data/64803/000119312509227636/d8k.htm
CVS,CVS HEALTH Corp,Edwin M. Crawford,2007-03-21,2011-03-01,8-K,https://www.sec.gov/Archives/edgar/data/64803/000095010307000726/dp05079e_8k.htm
CVS,CVS HEALTH Corp,Larry J. Merlo,2011-03-01,2018-10-10,8-K,https://www.sec.gov/Archives/edgar/data/64803/000119312511013938/d8k.htm
CVS,CVS HEALTH Corp,Mark T. Bertolini,2018-10-10,2021-02-01,8-K,https://www.sec.gov/Archives/edgar/data/64803/000119312518296866/d635644d8k.htm
CVS,CVS HEALTH Corp,Karen S. Lynch,2021-02-01,2024-10-17,8-K,https://www.sec.gov/Archives/edgar/data/64803/000094787120000854/ss185054_8k.htm
CVS,CVS HEALTH Corp,J. David Joyner,2024-10-17,Present,8-K,https://www.sec.gov/Archives/edgar/data/64803/000119312524239193/d837701d8k.htm
CVX,CHEVRON CORP,Michael K. Wirth,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/93410/000009341026000078/cvx-20251231.htm
D,"DOMINION ENERGY, INC",Thomas Capps,,2005-12-31,8-K,https://www.sec.gov/Archives/edgar/data/715957/000119312505085316/d8k.htm
