Ticker,Company Name,CEO Name,Start Date,End Date,Source,Validation URL
A,"AGILENT TECHNOLOGIES, INC.",Edward W. Barnholt,,2005-03-01,8-K,https://www.sec.gov/Archives/edgar/data/1090872/000119312505008846/d8k.htm
A,"AGILENT TECHNOLOGIES, INC.",William P. Sullivan,2005-03-01,2015-03-18,8-K,https://www.sec.gov/Archives/edgar/data/1090872/000109087214000027/form8-kmmcmullen.htm
A,"AGILENT TECHNOLOGIES, INC.",Michael R. McMullen,2015-03-18,2024-05-01,8-K,https://www.sec.gov/Archives/edgar/data/1090872/000109087215000011/form8-kceomcmullen.htm
A,"AGILENT TECHNOLOGIES, INC.",Padraig McDonnell,2024-05-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1090872/000095017024017940/a-20240220.htm
AAPL,Apple Inc.,Steve Jobs,1997-07-09,2011-08-24,8-K,https://www.sec.gov/Archives/edgar/data/320193/000118143109003017/rrd229456.htm
AAPL,Apple Inc.,Tim Cook,2011-08-24,Present,8-K,https://www.sec.gov/Archives/edgar/data/320193/000118143111003847/rrd297847.htm
ABBV,AbbVie Inc.,Richard A. Gonzalez,2009-01-01,2025-07-01,8-K,https://www.sec.gov/Archives/edgar/data/1551152/000110465922045308/tm2212581d1_8k.htm
ABBV,AbbVie Inc.,Robert A. Michael,2025-07-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1551152/000110465925013467/tm256372d1_8k.htm
