Ticker,Company Name,CEO Name,Start Date,End Date,Source,Validation URL
GD,GENERAL DYNAMICS CORP,Nicholas D. Chabraja,,2009-06-30,8-K,https://www.sec.gov/Archives/edgar/data/40533/000119312508107693/d8k.htm
GD,GENERAL DYNAMICS CORP,Jay L. Johnson,2009-07-01,2012-12-31,8-K,https://www.sec.gov/Archives/edgar/data/40533/000119312512261997/d363812d8k.htm
GD,GENERAL DYNAMICS CORP,Phebe N. Novakovic,2013-01-01,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/40533/000130817926000168/gd014595-def14a.htm
GDDY,GoDaddy Inc.,Scott W. Wagner,,2013-07-01,8-K,https://www.sec.gov/Archives/edgar/data/1609711/000160971119000190/a8119-ceochange8xk.htm
GDDY,GoDaddy Inc.,Blake J. Irving,2013-07-01,2017-12-31,8-K,https://www.sec.gov/Archives/edgar/data/1609711/000119312517264576/d438409d8k.htm
GDDY,GoDaddy Inc.,Aman Bhutani,2019-09-04,Present,8-K,https://www.sec.gov/Archives/edgar/data/1609711/000160971119000190/a8119-ceochange8xk.htm
GE,GENERAL ELECTRIC CO,Michael A. Neal,,2013-07-01,8-K,https://www.sec.gov/Archives/edgar/data/40545/000004054513000065/geform8k61213.htm
GE,GENERAL ELECTRIC CO,Keith S. Sherin,2013-07-01,2016-09-01,8-K,https://www.sec.gov/Archives/edgar/data/40545/000004054516000177/ge8k2016sherin.htm
GE,GENERAL ELECTRIC CO,Richard A. Laxer,2016-09-01,2017-08-01,8-K,https://www.sec.gov/Archives/edgar/data/40545/000004054517000035/ge8k06122017.htm
GE,GENERAL ELECTRIC CO,John L. Flannery,2017-08-01,2018-09-30,8-K,https://www.sec.gov/Archives/edgar/data/40545/000004054518000074/ge8-k100418.htm
GE,GENERAL ELECTRIC CO,"H. Lawrence Culp, Jr.",2018-09-30,Present,8-K,https://www.sec.gov/Archives/edgar/data/40545/000004054518000074/ge8-k100418.htm
GEHC,GE HealthCare Technologies Inc.,"H. Lawrence Culp, Jr.",,2022-12-14,8-K,https://www.sec.gov/Archives/edgar/data/1932393/000119312523001161/d386556d8k.htm
GEHC,GE HealthCare Technologies Inc.,Peter J. Arduini,2022-12-14,Present,8-K,https://www.sec.gov/Archives/edgar/data/1932393/000119312522304900/d427605d8k.htm
GEN,Gen Digital Inc.,John G. Schwarz,,2005-09-10,8-K,https://www.sec.gov/Archives/edgar/data/849399/000095013405017490/f12443e8vk.htm
GEN,Gen Digital Inc.,John W. Thompson,2005-09-10,2009-04-03,8-K,https://www.sec.gov/Archives/edgar/data/849399/000095013408020762/f50607e8vk.htm
GEN,Gen Digital Inc.,Enrique T. Salem,2009-04-04,2012-07-24,8-K,https://www.sec.gov/Archives/edgar/data/849399/000119312512322426/d387126d8k.htm
GEN,Gen Digital Inc.,Stephen M. Bennett,2012-07-25,2014-03-19,8-K,https://www.sec.gov/Archives/edgar/data/849399/000119312514110298/d697851d8k.htm
GEN,Gen Digital Inc.,Michael A. Brown,2014-03-20,2016-04-28,8-K,https://www.sec.gov/Archives/edgar/data/849399/000115752316005293/a51330567.htm
GEN,Gen Digital Inc.,Gregory Clark,2016-06-12,2019-05-09,8-K,https://www.sec.gov/Archives/edgar/data/849399/000115752319001183/a51981918.htm
GEN,Gen Digital Inc.,Richard S. Rick Hill,2019-05-09,2019-11-08,8-K,https://www.sec.gov/Archives/edgar/data/849399/000115752319002234/a52124959.htm
GEN,Gen Digital Inc.,Vincent Pilette,2019-11-08,Present,8-K,https://www.sec.gov/Archives/edgar/data/849399/000110465922099111/tm2225494d3_8k.htm
GEV,GE Vernova Inc.,Mavi Zingoni,,2024-04-02,8-K,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000004/gev-20260121.htm
GEV,GE Vernova Inc.,Scott Strazik,2024-04-02,2026-01-21,8-K,https://www.sec.gov/Archives/edgar/data/1996810/000119312524084048/d807682d8k.htm
GEV,GE Vernova Inc.,Eric Gray,2026-01-21,Present,8-K,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000004/gev-20260121.htm
GILD,"GILEAD SCIENCES, INC.",John C. Martin,,2016-03-10,8-K,https://www.sec.gov/Archives/edgar/data/882095/000119312516449263/d131700d8k.htm
GILD,"GILEAD SCIENCES, INC.",John F. Milligan,2016-03-10,2018-12-31,8-K,https://www.sec.gov/Archives/edgar/data/882095/000110465918072098/a18-41320_18k.htm
GILD,"GILEAD SCIENCES, INC.",Daniel O Day,2019-03-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/882095/000110465919011828/a19-5578_18k.htm
GIS,GENERAL MILLS INC,Stephen W. Sanger,,2007-09-24,8-K,https://www.sec.gov/Archives/edgar/data/40704/000089710107002013/genmills073843_8k.htm
GIS,GENERAL MILLS INC,Kendall J. Powell,2007-09-24,2017-06-01,8-K,https://www.sec.gov/Archives/edgar/data/40704/000089710107002013/genmills073843_8k.htm
GIS,GENERAL MILLS INC,Jeffrey L. Harmening,2017-06-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/40704/000129993317000448/htm_54888.htm
GL,GLOBE LIFE INC.,C.B. Hudson,1999-09-01,2005-08-01,8-K,https://www.sec.gov/Archives/edgar/data/320335/000119312505154550/d8k.htm
GL,GLOBE LIFE INC.,Mark S. McAndrew,2005-08-01,2012-06-01,8-K,https://www.sec.gov/Archives/edgar/data/320335/000119312512178870/d339316d8k.htm
GL,GLOBE LIFE INC.,Gary L. Coleman and Larry M. Hutchison,2012-06-01,2022-12-31,8-K,https://www.sec.gov/Archives/edgar/data/320335/000032033522000030/gl-20221026.htm
GL,GLOBE LIFE INC.,J. Matthew Darden and Frank M. Svoboda,2023-01-01,2023-04-27,8-K,https://www.sec.gov/Archives/edgar/data/320335/000032033523000006/gl-20230209.htm
GL,GLOBE LIFE INC.,J. Matthew Darden,2023-04-27,Present,8-K,https://www.sec.gov/Archives/edgar/data/320335/000032033523000006/gl-20230209.htm
GLW,CORNING INC /NY,James R. Houghton,,2000-01-01,8-K,https://www.sec.gov/Archives/edgar/data/24741/000129993305000367/htm_2801.htm
GLW,CORNING INC /NY,Wendell P. Weeks,2000-01-01,2002-01-01,Annual filing,https://www.sec.gov/Archives/edgar/data/24741/000120677426000148/glw4500541-def14a.htm
GLW,CORNING INC /NY,Eric S. Musser,2002-01-01,2025-06-01,8-K,https://www.sec.gov/Archives/edgar/data/24741/000120677425000335/glw4476491-8k.htm
GM,General Motors Co,Frederick A. Henderson,2009-03-29,2009-12-01,8-K,https://www.sec.gov/Archives/edgar/data/1467858/000119312509150199/d8k.htm
GM,General Motors Co,"Edward E. Whitacre, Jr.",2009-12-01,2010-09-01,8-K,https://www.sec.gov/Archives/edgar/data/1467858/000119312510035223/d8k.htm
GM,General Motors Co,Daniel F. Akerson,2010-09-01,2014-01-15,8-K,https://www.sec.gov/Archives/edgar/data/1467858/000119312510208004/d8k.htm
GM,General Motors Co,Mary T. Barra,2014-01-15,Present,8-K,https://www.sec.gov/Archives/edgar/data/1467858/000146785813000150/gmform8k12072013item502.htm
GNRC,GENERAC HOLDINGS INC.,Aaron Jagdfeld,,Present,Annual filing,https://www.sec.gov/Archives/edgar/data/1474735/000110465926051499/tm261388-1_def14a.htm
GOOG,Alphabet Inc.,Larry Page,2011-01-01,2019-12-03,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312519305505/d843403d8k.htm
GOOG,Alphabet Inc.,Sundar Pichai,2019-12-03,Present,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312519305505/d843403d8k.htm
GOOGL,Alphabet Inc.,Larry Page,2011-01-01,2015-08-10,Web search,https://www.sec.gov/Archives/edgar/data/1652044/000119312519305505/d843403d8k.htm
GOOGL,Alphabet Inc.,Sundar Pichai,2015-08-10,Present,8-K,https://www.sec.gov/Archives/edgar/data/1652044/000119312519305505/d843403d8k.htm
