date,ticker,open,high,low,close,volume,_errors
2026-03-05,TSEOF,0.07,0.12,0.0,0.0,4223900,low below minimum: 0.0; close below minimum: 0.0
2026-03-06,TSEOF,0.0,0.13,0.0,0.01,638800,open below minimum: 0.0; low below minimum: 0.0
