date,ticker,open,high,low,close,volume,_errors
1997-08-15,VHI,-355.62,-360.81,-355.62,-358.22,4867,open below minimum: -355.62; high below minimum: -360.81; low below minimum: -355.62; close below minimum: -358.22
1997-08-18,VHI,-355.62,-355.62,-353.03,-353.03,1643,open below minimum: -355.62; high below minimum: -355.62; low below minimum: -353.03; close below minimum: -353.03
1997-08-19,VHI,-353.03,-363.41,-353.03,-363.41,5902,open below minimum: -353.03; high below minimum: -363.41; low below minimum: -353.03; close below minimum: -363.41
1997-08-20,VHI,-368.6,-368.6,-360.81,-360.81,4867,open below minimum: -368.6; high below minimum: -368.6; low below minimum: -360.81; close below minimum: -360.81
1997-08-21,VHI,-355.62,-358.22,-353.03,-353.03,7788,open below minimum: -355.62; high below minimum: -358.22; low below minimum: -353.03; close below minimum: -353.03
1997-08-22,VHI,-353.03,-355.62,-353.03,-355.62,1278,open below minimum: -353.03; high below minimum: -355.62; low below minimum: -353.03; close below minimum: -355.62
1997-08-25,VHI,-358.22,-358.22,-355.62,-358.22,4746,open below minimum: -358.22; high below minimum: -358.22; low below minimum: -355.62; close below minimum: -358.22
1997-08-26,VHI,-363.41,-363.41,-360.81,-360.81,3468,open below minimum: -363.41; high below minimum: -363.41; low below minimum: -360.81; close below minimum: -360.81
1997-08-27,VHI,-358.22,-368.6,-358.22,-368.6,15211,open below minimum: -358.22; high below minimum: -368.6; low below minimum: -358.22; close below minimum: -368.6
1997-08-28,VHI,-368.6,-368.6,-360.81,-363.41,7119,open below minimum: -368.6; high below minimum: -368.6; low below minimum: -360.81; close below minimum: -363.41
1997-08-29,VHI,-363.41,-368.6,-363.41,-363.41,4867,open below minimum: -363.41; high below minimum: -368.6; low below minimum: -363.41; close below minimum: -363.41
1997-09-02,VHI,-363.41,-366.0,-363.41,-366.0,6936,open below minimum: -363.41; high below minimum: -366.0; low below minimum: -363.41; close below minimum: -366.0
