date,ticker,open,high,low,close,volume,_errors
2021-01-04,DEC,0.0,0.0,0.0,0.0,21100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-06,DEC,0.0,0.0,0.0,0.0,1000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-07,DEC,0.0,0.0,0.0,0.0,200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-11,DEC,0.0,0.0,0.0,0.0,29000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-12,DEC,0.0,0.0,0.0,0.0,5800,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-13,DEC,0.0,0.0,0.0,0.0,39500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-14,DEC,0.0,0.0,0.0,0.0,16500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-15,DEC,0.0,0.0,0.0,0.0,29500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-19,DEC,0.0,0.0,0.0,0.0,5300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-20,DEC,0.0,0.0,0.0,0.0,1700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-21,DEC,0.0,0.0,0.0,0.0,7400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-22,DEC,0.0,0.0,0.0,0.0,20200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-25,DEC,0.0,0.0,0.0,0.0,22500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-26,DEC,0.0,0.0,0.0,0.0,36000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-27,DEC,0.0,0.0,0.0,0.0,800,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-28,DEC,0.0,0.0,0.0,0.0,8700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-01-29,DEC,0.0,0.0,0.0,0.0,41200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-01,DEC,0.0,0.0,0.0,0.0,1100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-02,DEC,0.0,0.0,0.0,0.0,1500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-03,DEC,0.0,0.0,0.0,0.0,6800,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-04,DEC,0.0,0.0,0.0,0.0,4500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-05,DEC,0.0,0.0,0.0,0.0,2500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-12,DEC,0.0,0.0,0.0,0.0,1000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-16,DEC,0.0,0.0,0.0,0.0,26200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-17,DEC,0.0,0.0,0.0,0.0,171500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-18,DEC,0.0,0.0,0.0,0.0,200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-19,DEC,0.0,0.0,0.0,0.0,11000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-22,DEC,0.0,0.0,0.0,0.0,300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-23,DEC,0.0,0.0,0.0,0.0,1100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-24,DEC,0.0,0.0,0.0,0.0,22500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-25,DEC,0.0,0.0,0.0,0.0,5100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-02-26,DEC,0.0,0.0,0.0,0.0,300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-01,DEC,0.0,0.0,0.0,0.0,3000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-02,DEC,0.0,0.0,0.0,0.0,500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-05,DEC,0.0,0.0,0.0,0.0,11300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-08,DEC,0.0,0.0,0.0,0.0,4600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-09,DEC,0.0,0.0,0.0,0.0,1700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-10,DEC,0.0,0.0,0.0,0.0,42100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-11,DEC,0.0,0.0,0.0,0.0,1000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-12,DEC,0.0,0.0,0.0,0.0,19900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-15,DEC,0.0,0.0,0.0,0.0,42100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-16,DEC,0.0,0.0,0.0,0.0,40100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-17,DEC,0.0,0.0,0.0,0.0,23500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-18,DEC,0.0,0.0,0.0,0.0,16400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-19,DEC,0.0,0.0,0.0,0.0,59600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-22,DEC,0.0,0.0,0.0,0.0,11200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-23,DEC,0.0,0.0,0.0,0.0,39700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-24,DEC,0.0,0.0,0.0,0.0,4200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-25,DEC,0.0,0.0,0.0,0.0,30700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-26,DEC,0.0,0.0,0.0,0.0,700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-29,DEC,0.0,0.0,0.0,0.0,7000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-30,DEC,0.0,0.0,0.0,0.0,200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-03-31,DEC,0.0,0.0,0.0,0.0,6100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-01,DEC,0.0,0.0,0.0,0.0,1000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-05,DEC,0.0,0.0,0.0,0.0,8600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-06,DEC,0.0,0.0,0.0,0.0,13600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-07,DEC,0.0,0.0,0.0,0.0,29400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-08,DEC,0.0,0.0,0.0,0.0,19100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-09,DEC,0.0,0.0,0.0,0.0,19400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-12,DEC,0.0,0.0,0.0,0.0,1000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-14,DEC,0.0,0.0,0.0,0.0,1000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-15,DEC,0.0,0.0,0.0,0.0,12000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-16,DEC,0.0,0.0,0.0,0.0,24100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-19,DEC,0.0,0.0,0.0,0.0,8000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
